Player,Rnd,Pick,Tm,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
Bryce Young,1,1,CAR,QB,22,2023,0,0,0,6,6,16,315,527,2877,11,10,39,253,0,0,0,0,,,,Alabama,College Stats,YounBr01
C.J. Stroud,1,2,HOU,QB,21,2023,0,1,0,14,14,15,319,499,4108,23,5,39,167,3,1,0,0,,,,Ohio St.,College Stats,StroCJ00
Will Anderson,1,3,HOU,LB,22,2023,0,1,0,10,10,15,0,0,0,0,0,0,0,0,0,0,0,29,,7,Alabama,College Stats,AndeWi01
Anthony Richardson,1,4,IND,QB,21,2023,0,0,0,3,3,4,50,84,577,3,1,25,136,4,0,0,0,,,,Florida,College Stats,RichAn03
Devon Witherspoon,1,5,SEA,DB,22,2023,0,1,0,6,6,14,0,0,0,0,0,0,0,0,0,0,0,56,1,3,Illinois,College Stats,WithDe00
Paris Johnson,1,6,ARI,OL,22,2023,0,0,0,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,JohnPa03
Tyree Wilson,1,7,LVR,OLB,23,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,16,,3.5,Texas Tech,College Stats,WilsTy01
Bijan Robinson,1,8,ATL,RB,21,2023,0,0,0,9,9,17,0,0,0,0,0,214,976,4,58,487,4,,,,Texas,College Stats,RobiBi01
Jalen Carter,1,9,PHI,DL,22,2023,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,20,,6,Georgia,College Stats,CartJa05
Darnell Wright,1,10,CHI,OL,22,2023,0,0,0,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee,College Stats,WrigDa00
Peter Skoronski,1,11,TEN,OL,22,2023,0,0,0,5,5,14,0,0,0,0,0,0,0,0,0,0,0,,,,Northwestern,College Stats,SkorPe00
Jahmyr Gibbs,1,12,DET,RB,21,2023,0,1,0,10,10,15,0,0,0,0,0,182,945,10,52,316,1,,,,Alabama,College Stats,GibbJa01
Lukas Van Ness,1,13,GNB,DL,22,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,24,,4,Iowa,College Stats,VanNLu00
Broderick Jones,1,14,PIT,OL,22,2023,0,0,0,5,5,17,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,JoneBr09
Will McDonald,1,15,NYJ,DE,24,2023,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,9,,3,Iowa St.,College Stats,McDoWi00
Emmanuel Forbes,1,16,WAS,CB,22,2023,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,35,1,,Mississippi St.,College Stats,ForbEm00
Christian Gonzalez,1,17,NWE,DB,21,2023,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,14,1,1,Oregon,College Stats,GonzCh00
Jack Campbell,1,18,DET,LB,23,2023,0,0,0,5,5,17,0,0,0,0,0,0,0,0,0,0,0,52,,2,Iowa,College Stats,CampJa04
Calijah Kancey,1,19,TAM,DL,22,2023,0,0,0,6,6,14,0,0,0,0,0,0,0,0,0,0,0,19,,4,Pittsburgh,College Stats,KancCa00
Jaxon Smith-Njigba,1,20,SEA,WR,21,2023,0,0,0,6,6,17,0,0,0,0,0,0,0,0,63,628,4,,,,Ohio St.,College Stats,SmitJa06
Quentin Johnston,1,21,LAC,WR,22,2023,0,0,0,4,4,17,0,0,0,0,0,3,9,0,38,431,2,,,,TCU,College Stats,JohnQu02
Zay Flowers,1,22,BAL,WR,22,2023,0,0,0,9,9,16,0,0,0,0,0,8,56,1,77,858,5,,,,Boston Col.,College Stats,FlowZa00
Jordan Addison,1,23,MIN,WR,21,2023,0,0,0,7,7,17,0,0,0,0,0,1,2,0,70,911,10,,,,USC,College Stats,AddiJo00
Deonte Banks,1,24,NYG,DB,22,2023,0,0,0,5,5,15,0,0,0,0,0,0,0,0,0,0,0,53,2,,Maryland,College Stats,BankDe00
Dalton Kincaid,1,25,BUF,TE,23,2023,0,0,0,7,7,16,0,0,0,0,0,0,0,0,73,673,2,,,,Utah,College Stats,KincDa00
Mazi Smith,1,26,DAL,DL,22,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,9,,1,Michigan,College Stats,SmitMa06
Anton Harrison,1,27,JAX,OL,21,2023,0,0,0,9,9,17,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats,HarrAn00
Myles Murphy,1,28,CIN,DE,21,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,10,,3,Clemson,College Stats,MurpMy00
Bryan Bresee,1,29,NOR,DT,21,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,12,,4.5,Clemson,College Stats,BresBr00
Nolan Smith,1,30,PHI,OLB,22,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,10,,1,Georgia,College Stats,SmitNo02
Felix Anudike-Uzomah,1,31,KAN,DE,21,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,8,,0.5,Kansas St.,College Stats,AnudFe00
Joey Porter Jr.,2,32,PIT,CB,23,2023,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,32,1,,Penn St.,College Stats,PortJo02
Will Levis,2,33,TEN,QB,24,2023,0,0,0,6,6,9,149,255,1808,8,4,25,57,1,0,0,0,,,,Kentucky,College Stats,LeviWi00
Sam LaPorta,2,34,DET,TE,22,2023,0,1,0,9,9,17,0,0,0,0,0,1,4,0,86,889,10,,,,Iowa,College Stats,LaPoSa01
Michael Mayer,2,35,LVR,TE,22,2023,0,0,0,3,3,14,0,0,0,0,0,0,0,0,27,304,2,,,,Notre Dame,College Stats,MayeMi00
Steve Avila,2,36,LAR,C,23,2023,0,0,0,7,7,17,0,0,0,0,0,0,0,0,0,0,0,,,,TCU,College Stats,AvilSt00
Derick Hall,2,37,SEA,DE,22,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,18,,,Auburn,College Stats,HallDe04
Matthew Bergeron,2,38,ATL,OL,23,2023,0,0,0,6,6,17,0,0,0,0,0,0,0,0,0,0,0,,,,Syracuse,College Stats,BergMa00
Jonathan Mingo,2,39,CAR,WR,22,2023,0,0,0,3,3,15,0,0,0,0,0,0,0,0,43,418,0,,,,Mississippi,College Stats,MingJo00
Isaiah Foskey,2,40,NOR,DL,22,2023,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,5,,,Notre Dame,College Stats,FoskIs00
BJ Ojulari,2,41,ARI,DE,21,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,23,,4,LSU,College Stats,OjulBJ00
Luke Musgrave,2,42,GNB,TE,23,2023,0,0,0,3,3,11,0,0,0,0,0,0,0,0,34,352,1,,,,Oregon St.,College Stats,MusgLu00
Joe Tippmann,2,43,NYJ,OL,22,2023,0,0,0,4,4,16,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats,TippJo00
Julius Brents,2,44,IND,DB,23,2023,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,30,1,,Kansas St.,College Stats,BrenJu00
Brian Branch,2,45,DET,DB,21,2023,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,50,3,1,Alabama,College Stats,BranBr00
Keion White,2,46,NWE,DL,24,2023,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,12,,1,Georgia Tech,College Stats,WhitKe03
Quan Martin,2,47,WAS,DB,23,2023,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,28,2,1,Illinois,College Stats,MartJa04
Cody Mauch,2,48,TAM,T,24,2023,0,0,0,7,7,17,0,0,0,0,0,0,0,0,0,0,0,,,,North Dakota St.,,MaucCo00
Keeanu Benton,2,49,PIT,NT,22,2023,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,16,,1,Wisconsin,College Stats,BentKe00
Jayden Reed,2,50,GNB,WR,23,2023,0,0,0,9,9,16,0,0,0,0,0,11,119,2,64,793,8,,,,Michigan St.,College Stats,ReedJa03
Cam Smith,2,51,MIA,DB,22,2023,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,1,,,South Carolina,College Stats,SmitCa02
Zach Charbonnet,2,52,SEA,RB,22,2023,0,0,0,5,5,16,0,0,0,0,0,108,462,1,33,209,0,,,,UCLA,College Stats,CharZa00
